protein1 protein2 experimental database textmining combined_score
224308.BSU00150 224308.BSU14900 499 0 0 499
224308.BSU00150 224308.BSU10390 522 0 0 522
224308.BSU00150 224308.BSU06880 538 357 79 702
224308.BSU00150 224308.BSU03490 311 129 0 374
224308.BSU00150 224308.BSU37600 227 0 0 226
224308.BSU00150 224308.BSU37420 307 0 0 307
224308.BSU00150 224308.BSU17130 311 129 0 374
224308.BSU00150 224308.BSU22560 522 0 0 522
224308.BSU00150 224308.BSU15920 311 129 0 374
224308.BSU00150 224308.BSU14910 499 0 0 499
224308.BSU00150 224308.BSU14890 953 0 0 953
224308.BSU00150 224308.BSU22540 517 0 0 517
224308.BSU00150 224308.BSU16860 307 0 0 307
224308.BSU00150 224308.BSU05780 227 0 0 226
224308.BSU00150 224308.BSU16845 307 0 0 307
224308.BSU00150 224308.BSU03510 311 129 0 374
224308.BSU00150 224308.BSU37410 307 0 0 307
224308.BSU00150 224308.BSU17220 311 129 0 374
224308.BSU00160 224308.BSU17030 0 0 358 358
224308.BSU00160 224308.BSU02600 0 0 300 300
224308.BSU00190 224308.BSU16580 176 900 395 945
224308.BSU00190 224308.BSU22590 181 0 0 181
224308.BSU00190 224308.BSU00310 880 900 703 996
224308.BSU00190 224308.BSU07390 214 0 0 214
224308.BSU00190 224308.BSU13310 214 0 0 214
224308.BSU00190 224308.BSU40440 401 0 200 500
224308.BSU00190 224308.BSU16320 224 0 0 224
224308.BSU00190 224308.BSU17050 236 0 0 236
224308.BSU00190 224308.BSU08940 212 0 0 212
224308.BSU00190 224308.BSU07520 232 0 0 231
224308.BSU00190 224308.BSU40800 214 0 0 214
224308.BSU00190 224308.BSU27000 214 0 0 214
224308.BSU00190 224308.BSU17450 214 0 0 214
224308.BSU00190 224308.BSU36600 214 0 0 214
224308.BSU00190 224308.BSU36310 490 0 0 489
224308.BSU00190 224308.BSU30540 0 0 435 435
224308.BSU00190 224308.BSU06670 231 0 0 230
224308.BSU00190 224308.BSU09560 214 0 0 214
224308.BSU00190 224308.BSU16030 0 0 396 396
224308.BSU00190 224308.BSU00020 816 900 579 991
224308.BSU00190 224308.BSU20340 704 900 200 974
224308.BSU00190 224308.BSU05460 214 0 0 214
224308.BSU00190 224308.BSU26150 176 0 0 175
224308.BSU00190 224308.BSU29230 704 900 200 974
